Ablak Antal
Alma Dalma
Bab Zsuzsanna
Barack Barna
Birs Helga
Bors Botond
Brokkoli Gyula
Ceruza Zsombor
Fasirt Ferenc
Gomba Gitta
Halmi Helga
Hold Ferenc
Hurka Herold
Joghurt Jakab
Kajszi Kolos
Kapor Karola
Karfiol Ede
Kefir Ilona
Kupa Huba
Languszta Auguszta
Lila Lilla
Medve Rudolf
Meggy Csilla
Moly Piroska
Monitor Tibor
Narancs Edmond
Oldalas Olga
Pacal Kata
Petrezselyem Petra
Pokol Vidor
Ragu Ida
Retek Etelka
Sajt Hajnalka
Simon Simon
Szilva Szilvia
Tejes Attila
Tejfel Edit
Uborka Ubul
Vadas Marcell
Vagdalt Edit
